file,old,new,rule,source,class,occurrences,lines,note
system-design-primer-companion.md,T0,SDP-T0,SDP-01,§5 primer rules,rename,8,629 650 651 652 653 654 656 677,tiers; lines 625–680 only
system-design-primer-companion.md,T1,SDP-T1,SDP-01,§5 primer rules,rename,2,630 642,tiers; lines 625–680 only
system-design-primer-companion.md,T2,SDP-T2,SDP-01,§5 primer rules,rename,4,631 643 655 664,tiers; lines 625–680 only
system-design-primer-companion.md,T3,SDP-T3,SDP-01,§5 primer rules,rename,2,632 673,tiers; lines 625–680 only
system-design-primer-companion.md,T4,SDP-T4,SDP-01,§5 primer rules,rename,10,633 642 644 645 646 647 648 649 662 678,tiers; lines 625–680 only
system-design-primer-companion.md,T5,SDP-T5,SDP-01,§5 primer rules,rename,20,634 642 657 658 659 660 661 663 665 666 667 668 …,tiers; lines 625–680 only
sql-databases-companion.md,12.S12,SQL-SKIP-SQL,SQL-10,§5,rename,13,114 181 313 337 345 387 403 411 419 435 826 828 …,skip-test
sql-databases-companion.md,12.S13,SQL-SKIP-ENGINE,SQL-11,§5,rename,6,115 183 525 826 828 845,skip-test
sql-databases-companion.md,C1,SQL-CAP1,SQL-09,§5,rename,30,44 63 66 112 140 178 635 636 1759 1761 1769 1777 …,capstones (incl. C1.1…C1.8)
sql-databases-companion.md,C2,SQL-CAP2,SQL-09,§5,rename,11,66 100 140 174 603 604 1759 1825 2236 2242 3013,capstones (incl. C1.1…C1.8)
sql-databases-companion.md,C3,SQL-CAP3,SQL-09,§5,rename,3,2237 2240 3050,capstones (incl. C1.1…C1.8)
sql-databases-companion.md,C4,SQL-CAP4,SQL-09,§5,rename,19,44 63 66 109 112 177 178 239 693 1759 1833 2187 …,capstones (incl. C1.1…C1.8)
sql-databases-companion.md,E0,SQL-E0,SQL-07,§5 [resolved-by-default],rename,1,81,"bare level form ('E3 gate', 'E1–E10')"
sql-databases-companion.md,E1,SQL-E1,SQL-07,§5 [resolved-by-default],rename,6,56 66 89 173 392 1125,"bare level form ('E3 gate', 'E1–E10')"
sql-databases-companion.md,E1.1,SQL-E1.1,SQL-06,§5,rename,3,790 1059 2248,exercise ladder
sql-databases-companion.md,E1.2,SQL-E1.2,SQL-06,§5,rename,3,400 1067 2257,exercise ladder
sql-databases-companion.md,E1.3,SQL-E1.3,SQL-06,§5,rename,4,400 835 1075 2263,exercise ladder
sql-databases-companion.md,E1.4,SQL-E1.4,SQL-06,§5,rename,2,1083 2269,exercise ladder
sql-databases-companion.md,E1.5,SQL-E1.5,SQL-06,§5,rename,3,400 1091 2279,exercise ladder
sql-databases-companion.md,E1.6,SQL-E1.6,SQL-06,§5,rename,2,1099 2285,exercise ladder
sql-databases-companion.md,E1.7,SQL-E1.7,SQL-06,§5,rename,3,1107 2067 2296,exercise ladder
sql-databases-companion.md,E1.8,SQL-E1.8,SQL-06,§5,rename,2,1115 2304,exercise ladder
