E1.1 164:d17041f6 
E1.2 181:ab2f2d8e 
E1.3 1740:d7106dd7 
E1.4 20:1af04ff2 
E1.5 2036:aa6dda6b 
E1.6 20000:a58f4910 
E1.7 10:558e94b1 
E1.8 10:986cf4ec 
E2.1 5:2495a69d 
E2.2 12:c6eb674e 
E2.3 467:68a601d1 
E2.4 5:0cf3aaa2 
E2.5 5:9fbfe463 
E2.6 8:94127f65 
E2.7 5:74a001bd 
E2.8 10:dc13b2c1 
E3.1 50:787a0b9d 
E3.2 1291:ce8f0411 
E3.3 200:e5ab3ae1 
E3.4 180:d18c224e 
E3.5 1:6c39466d 
E3.6 1172:9f8ebbd0 
E3.7 100:1b05fa94 
E3.8 1845:6f7a9372 
E3.9 14:cb9ff4e8 
E3.10 241:47e3b13f 
E4.1 675:19348832 
E4.2 500:7463fec9 
E4.3 391:6319def9 
E4.4 4559:2e92d1fa 
E4.5 5:77344493 
E4.6 30:d5ca9e54 
E4.7 360:3dd4aace 
E4.8 5:286c82f6 
