E5.1 90:0444fd32 
E5.2 31:1c8f130e 
E5.3 996:d7137b70 
E5.4 100:8a1679d3 
E5.5 5:4bec02c5 
E5.6 94:71892706 
E5.7 20:7ddcb09e 
E5.8 22:55be0551 
E6.1 200:3d4d4f51 
E6.2 7500:311fb683 
E6.3 1:2f3673b3 
E6.4 404:4f5a2a10 
E6.5 996:7e7490f1 
E6.6 10:79a8b3a1 
E6.7 6000:a46392ec 
E7.1 10:82a25fd0 
E7.2 10:13320b85 
E7.3 2000:97e6e0a2 
E7.4 1:36a7110f 
E7.5 3:62171a21 
E8.1 3:72b2a44b 
E8.2 1825:dc65c0f1 
E8.3 1:f10d5c9a 
E8.4 53:15bc9aa0 
E8.5 41:a5be7c78 
E8.6 4:eaf94d2b 
E8.7 2:71943e30 
E8.8 8:4fc20676 
E8.9 15:bafc9e47 
E8.10 15:3eed39e7 
